candidate_id,family,factors,model_name,model_type,target,top_n,rolling,train_periods,blend_rule_weight,folds,periods,mean_rank_ic,positive_rank_ic_share,min_rank_ic,max_rank_ic,gross_total_return,net_total_return,net_sharpe,average_turnover,positive_period_share,min_net_return,max_net_return,shadow_deflated_probability_trial1,shadow_one_sided_lower_95,passes_shadow_return_gate,passes_shadow_sharpe_lower_gate,passes_shadow_dsp_gate_trial1,max_train_label_end_before_test_start
all13__lgbm_base__cross_sectional_rank__top50__expand24__blend0.0,all13,"accruals,beta_to_spy,book_to_market,earnings_yield,free_cash_flow_yield,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,realized_vol_252d,realized_vol_60d,roe,sales_yield",lgbm_base,lightgbm,cross_sectional_rank,50,False,24,0.0,34,100,0.0195021187078009,0.6764705882352942,-0.0710864254225498,0.1366719571261924,2.6879980434956443,2.499815651700559,0.7778455118403788,0.5291999999999999,0.63,-0.2248683617255157,0.1883266055318133,0.9832208026898718,0.2051809843004983,True,True,True,True
value_low_risk__lgbm_ranker_gain100__cross_sectional_rank__top35__roll36__blend0.0,value_low_risk,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,35,True,36,0.0,30,88,0.009643896854887415,0.5666666666666667,-0.16504524136119597,0.22975534592362612,2.1273730355301947,2.002506357691839,0.7720186409958096,0.4686688311688311,0.6136363636363636,-0.17461955489937486,0.1895651717911101,0.9797792557398255,0.16113533997880183,True,True,True,True
value_low_risk__lgbm_ranker_gain100__cross_sectional_rank__top30__roll36__blend0.0,value_low_risk,,lgbm_ranker_gain100,lgbm_ranker,cross_sectional_rank,30,True,36,0.0,30,88,0.009643896854887415,0.5666666666666667,-0.16504524136119597,0.22975534592362612,2.043646111512754,1.9210402793274426,0.7580304391098428,0.4727272727272727,0.6136363636363636,-0.17236442390675313,0.18703982188495652,0.9776336496637772,0.14714713809283497,True,True,True,True
value_low_risk_sales__lgbm_shallow__cross_sectional_rank__top30__expand24__blend0.0,value_low_risk_sales,"sales_yield,earnings_yield,book_to_market,beta_to_spy,realized_vol_60d,realized_vol_252d",lgbm_shallow,lightgbm,cross_sectional_rank,30,False,24,0.0,34,100,0.0163709099609374,0.6470588235294118,-0.0686219147194569,0.1131680250106019,2.609977802210139,2.469089335757704,0.7423875821480279,0.4026666666666667,0.62,-0.2307662039300784,0.2221251401333842,0.9800676451733448,0.1697230546081477,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top30__expand24__blend0.5,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,30,False,24,0.5,34,100,0.0196199704241859,0.6764705882352942,-0.0567899944655309,0.1124784548423801,2.089262571664866,1.973494420394481,0.7302149714519233,0.3843333333333333,0.6,-0.2432511221022414,0.1555838201375314,0.9725994386148622,0.157550443912043,True,True,True,True
value_low_risk_sales__lgbm_shallow__cross_sectional_rank__top30__expand24__blend0.5,value_low_risk_sales,"sales_yield,earnings_yield,book_to_market,beta_to_spy,realized_vol_60d,realized_vol_252d",lgbm_shallow,lightgbm,cross_sectional_rank,30,False,24,0.5,34,100,0.0163709099609374,0.6470588235294118,-0.0686219147194569,0.1131680250106019,1.6883444650682828,1.593050861138369,0.7186338287641937,0.3636666666666667,0.62,-0.1871417444255547,0.1526615273238075,0.9750273117543804,0.1459693012243133,True,True,True,True
value_low_risk__lgbm_shallow__forward_return__top30__expand24__blend0.0,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,forward_return,30,False,24,0.0,34,100,0.0186824552197206,0.6176470588235294,-0.0839557840758525,0.1593864209017624,3.251058577455934,3.121208093973244,0.7156873589389744,0.313,0.6,-0.2941347411578993,0.2817055601860698,0.9764101670208872,0.1430228313990941,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top50__expand24__blend0.5,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,50,False,24,0.5,34,100,0.0196199704241859,0.6764705882352942,-0.0567899944655309,0.1124784548423801,1.8356007502814613,1.7378476071654956,0.7119272931100606,0.3532,0.63,-0.2255937900457335,0.1556100244370099,0.9708331407703852,0.1392627655701803,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top50__expand24__blend0.0,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,50,False,24,0.0,34,100,0.0196199704241859,0.6764705882352942,-0.0567899944655309,0.1124784548423801,2.1563634843703623,2.042476381742265,0.6892101041087974,0.3709999999999999,0.6,-0.2232510247683084,0.2233240270737416,0.9733036099013316,0.1165455765689172,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top30__expand24__blend0.0,value_low_risk,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield,beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,30,False,24,0.0,34,100,0.0196199704241859,0.6764705882352942,-0.0567899944655309,0.1124784548423801,2.305680133789149,2.175542416463655,0.6768611784075378,0.4056666666666668,0.61,-0.2643245202376381,0.239772842602484,0.9692444575685852,0.1041966508676574,True,True,True,True
value__lgbm_shallow__cross_sectional_rank__top30__expand24__blend0.0,value,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield",lgbm_shallow,lightgbm,cross_sectional_rank,30,False,24,0.0,34,100,0.0116998705561996,0.6470588235294118,-0.0537048506213229,0.0883288454236105,1.5727690986800351,1.470463578122522,0.646462779239504,0.4090000000000001,0.61,-0.1475023795380789,0.1932968927368804,0.9664200775400744,0.0737982516996237,True,True,True,True
low_risk__lgbm_shallow__cross_sectional_rank__top50__expand24__blend0.0,low_risk,"beta_to_spy,max_drawdown_252d,realized_vol_252d,realized_vol_60d",lgbm_shallow,lightgbm,cross_sectional_rank,50,False,24,0.0,34,100,0.0151173276101747,0.5294117647058824,-0.1031821327191094,0.1516985387910595,2.0939875791732057,1.975521029357472,0.6366184553534948,0.3944,0.61,-0.2863976754381006,0.2056654322981893,0.9585279392658204,0.0639539278136146,True,True,True,True
value_low_risk__lgbm_shallow__cross_sectional_rank__top30__roll24__blend0.0,value_low_risk,,lgbm_shallow,lightgbm,cross_sectional_rank,30,True,24,0.0,34,100,0.0086943679700398,0.5,-0.1085740519300147,0.1979210986185479,1.6956768809168463,1.5708740615169976,0.6344245657213313,0.4786666666666667,0.58,-0.1849049451803777,0.2251701746920109,0.9636443351151484,0.0617600381814509,True,True,True,True
value__lgbm_shallow__cross_sectional_rank__top50__expand24__blend0.0,value,"book_to_market,earnings_yield,free_cash_flow_yield,sales_yield",lgbm_shallow,lightgbm,cross_sectional_rank,50,False,24,0.0,34,100,0.0116998705561996,0.6470588235294118,-0.0537048506213229,0.0883288454236105,1.4728191909229462,1.3882119861956257,0.633666352585982,0.3504,0.65,-0.1638294709826373,0.1777060080984503,0.9612219863266448,0.0610018250461018,True,True,True,True
